Round Number ,Date Out ,Date Checked ,Forest Name ,Camera Number in Forest ,Plot Type,Camera Model,Unit Number,SD Card Number ,Number of Pictures ,Tree Species ,Orientation (Degrees),Battery Level,Notes ,
1,11/15/18,3/4/19,Beaver Creek,4,Deciduous ,Bushnell HD,11,13,,Elm ,306,,Sounds of hunting. Porcupine in tree ,
1,11/15/18,3/4/19,Beaver Creek,2,Deciduous ,Bushnell HD,17,24,,Red Maple,178,,,
1,11/15/18,3/4/19,Beaver Creek,1,Deciduous ,Browning ,24,4,,Red Oak ,286,,,
1,11/15/18,3/4/19,Beaver Creek,3,Deciduous ,Browning ,30,20,,Red Maple,270,,,
1,11/26/18,2/7/19,Degrasse ,4,Pine ,Bushnell HD,8,23,294,White Pine ,0,,,
1,11/26/18,2/7/19,Degrasse ,2,Pine ,Bushnell HD,15,14,243,White Pine ,354,,,
1,11/26/18,2/7/19,Degrasse ,1,Pine ,Browning ,28,15,18,Red Pine ,298,,,
1,11/26/18,2/7/19,Degrasse ,3,Pine ,Browning ,29,19,540,Red Maple,18,,,
1,11/26/18,2/28/19,Donnerville ,2,Deciduous ,Bushnell HD,6,2,,Red Maple,200,,,
1,12/13/18,2/25/19,Donnerville ,4,Deciduous ,Bushnell HD,14,22,123,White Ash,172,3 bars ,7-batteries ,
1,11/26/18,2/28/19,Donnerville ,1,Deciduous ,Browning ,21,21,,White Ash,226,,,
1,12/13/18,2/25/19,Donnerville ,3,Deciduous ,Browning ,27,8,48,Yellow Birch,331,83% battery ,,
1,11/14/18,2/11/19,South Hammond ,4,Deciduous ,Bushnell HD,3,5,129,Red Pine ,142,2 bars ,Barbed wire at base of the tree ,
1,11/14/18,2/11/19,South Hammond ,2,Deciduous ,Bushnell HD,10,10,NA,White Pine ,146,,placed on a game trail ,
1,11/14/18,2/11/19,South Hammond ,3,Deciduous ,Browning ,23,3,120,White Pine ,304,,,
1,11/14/18,2/11/19,South Hammond ,1,Deciduous ,Browning ,25,9,86,Red Oak ,51,,placed on a game trail ,
1,12/16/18,1/24/19,Whippoorwill Corners ,4,Pine ,Bushnell HD,2,7,76,Red Maple,80,3 bars ,,
1,12/18/18,1/24/19,Whippoorwill Corners ,2,Pine ,Bushnell HD,18,16,67,White Pine ,92,3 bars ,,
1,12/19/18,1/24/19,Whippoorwill Corners ,1,Pine ,Bushnell HD,31,6,79,Red Pine ,58,82% battery ,,
1,12/17/18,1/24/19,Whippoorwill Corners ,3,Pine ,Browning ,32,17,367,Hemlock,138,77% battery,Hemlock is dead ,
1,11/17/18,1/31/19,Whiskey Flats ,4,Pine ,Bushnell HD,4,26,51,Red Pine ,240,2 bars ,yellow batteries ,
1,11/17/18,1/31/19,Whiskey Flats ,2,Pine ,Bushnell HD,9,25,6,Red Pine ,328,2 bars ,yellow batteries ,
1,11/17/18,1/31/19,Whiskey Flats ,1,Pine ,Browning ,22,18,375,Hemlock,224,55% battery ,,
1,11/17/18,1/31/19,Whiskey Flats ,3,Pine ,Browning ,33,1,207,Hemlock,70,50% battery ,,
2,3/4/19,5/11/19,Beaver Creek,8,Deciduous ,Browning ,30,22,,Red Oak ,199,,,
2,3/4/19,5/11/19,Beaver Creek,7,Deciduous ,Browning ,24,18,,Red Oak ,164,,,
2,3/4/19,5/11/19,Beaver Creek,6,Deciduous ,Bushnell HD,11,21,,Red Maple,98,2 bars ,Picked up at 1 bar,
2,3/4/19,5/11/19,Beaver Creek,5,Deciduous ,Bushnell HD,17,8,,White Pine ,189,,"Picked up at 1 bar, used actual stick for scale",
2,2/7/08,5/16/19,Degrasse ,6,Pine ,Bushnell HD,15,35,,Red Pine ,334,3 bars ,,
2,2/7/08,5/13/19,Degrasse ,5,Pine ,Browning ,8,11,,Red Pine ,12,80% battery,,
2,2/7/08,5/13/19,Degrasse ,7,Pine ,Browning ,29,12,,American Beech,157,,,
2,2/7/08,5/13/19,Degrasse ,8,Pine ,Browning ,28,38,,oak,218,,Placed on significant incline ,
2,2/28/19,5/16/19,Donnerville ,7,Deciduous ,Bushnell HD,6,9,,Red Maple,271,3 bars ,,
2,2/28/19,5/16/19,Donnerville ,5,Deciduous ,Bushnell HD,14,5,,American Beech,256,3 bars ,,
2,2/28/19,5/16/19,Donnerville ,6,Deciduous ,Browning ,21,1,,American Beech,196,75% battery ,Key did not work -- Camera is at the same location as last time.  -- Need old key?,Battery was at 34% when it was picked up
2,2/28/19,5/16/19,Donnerville ,8,Deciduous ,Browning ,27,3,,Red Oak ,218,,Placed on significant incline ,
2,2/11/19,5/10/19,South Hammond ,6,Deciduous ,Bushnell HD,3,7,,White Pine ,46,,,
2,2/11/19,5/10/19,South Hammond ,7,Deciduous ,Bushnell HD,10,25,,Whtie Pine ,302,3 bars ,,
2,2/11/19,5/10/19,South Hammond ,8,Deciduous ,Browning ,23,16,,White Pine ,288,,Key broke in lock. Need cable cutters. Camera has not MOVED ,
2,2/11/19,5/10/19,South Hammond ,5,Deciduous ,Browning ,25,6,,White Pine ,206,,,
2,1/24/19,5/13/19,Whippoorwill Corners ,8,Pine ,Bushnell HD,2,42,,Red Maple,81,3 bars ,7-batteries ,
2,1/24/19,5/13/19,Whippoorwill Corners ,6,Pine ,Bushnell HD,18,40,,Red Maple,7,3 bars ,,
2,1/24/19,5/13/19,Whippoorwill Corners ,5,Pine ,Browning ,31,41,,Hemlock,334,81% battery,"Tree is dead, bring sharpie ",
2,1/24/19,5/13/19,Whippoorwill Corners ,7,Pine ,Browning ,32,39,,White Pine ,16,70% battery,,
2,1/31/19,5/15/19,Whiskey Flats ,8,Pine ,Bushnell HD,4,36,,Red Pine ,232,2 bars ,No scale stick ,
2,1/31/19,5/15/19,Whiskey Flats ,6,Pine ,Bushnell HD,9,34,,Red Pine ,178,2 bars ,GPS Collection DID NOT STORE. Do again once collected.  Very Harvested area. NO understory.,
2,1/28/19,5/15/19,Whiskey Flats ,5,Pine ,Browning ,22,31,,Red Maple,356,70% battery,,
2,1/31/19,5/15/19,Whiskey Flats ,7,Pine ,Browning ,33,32,,NA ,64,70% battery,No key for lock. Not locked ,
3,5/11/19,9/6/19,Beaver Creek,1,Deciduous ,Browning ,24,25,,Unkown deciduous (dead),13,,Placed near stream,
3,5/11/19,9/6/19,Beaver Creek,2,Deciduous ,Browning ,30,6,,Red Pine ,233,,Lots of shrubbery,
3,5/11/19,9/6/19,Beaver Creek,3,Deciduous ,Bushnell HD,11,31,,Sugar Maple,222,,,
3,5/11/19,9/8/19,Beaver Creek,4,Deciduous ,Bushnell HD,17,7,,Sugar Maple,234,,"On top of mountain, saw a porkie!",
3,5/10/19,8/31/19,South Hammond ,1,Deciduous ,Bushnell HD,10,1,,White Pine ,280,,,
3,5/10/19,8/31/19,South Hammond ,2,Deciduous ,Browning ,23,32,,White Pine ,280,,Lock Key broke- same point as Round 1,
3,5/10/19,8/31/19,South Hammond ,3,Deciduous ,Bushnell HD,3,5,,White Pine ,30,50% battery,,
3,5/10/19,8/31/19,South Hammond ,4,Deciduous ,Browning ,25,38,,Oak,233,,,
3,5/16/19,9/7/19,Donnerville,1,Deciduous ,Bushnell HD,6,41,,Sugar Maple,51,,,
3,5/16/19,9/7/19,Donnerville,2,Deciduous ,Browning ,33,23,,Sugar Maple,71,,Close to mountain bike trails,
3,5/16/19,9/7/19,Donnerville,3,Deciduous ,Bushnell HD,1,12,,White Oak,322,,On incline,
3,5/16/19,9/7/19,Donnerville,4,Deciduous ,Bushnell HD,7,9,,Sugar Maple,63,,Out of Browning so 3 Bushnell at this site,
3,5/15/19,9/3/19,Whiskey Flats ,1,Pine ,Bushnell HD,6,42,,Yellow birch,185,,Only 6 batteries,
3,5/15/19,9/3/19,Whiskey Flats ,2,Pine ,Browning ,32,26,,White Oak,180,,,
3,5/15/19,9/3/19,Whiskey Flats ,3,Pine ,Bushnell HD,14,17,,Sugar Maple,121,,,
3,5/15/19,9/3/19,Whiskey Flats ,4,Pine ,Browning ,21,40,,Red Pine ,37,,Very close to access road,
3,5/16/19,9/8/19,Degrasse ,4,Pine ,Browning ,27,35,,White Oak,200,,In marsh,
3,5/13/19,9/8/19,Degrasse ,1,Pine ,Bushnell HD,18,18,,White Oak,278,,Replaced Browning camera for Bushnell - Browning wasn't working,
3,5/13/19,9/7/19,Degrasse ,2,Pine ,Browning ,28,8,,Sugar Maple,348,,,
3,5/13/19,9/8/19,Degrasse ,3,Pine ,Bushnell HD,8,21,,Sugar Maple,105,,Elevated so may not show scale - lots of trees down,
3,5/13/19,9/4/19,Whippoorwill Corners ,1,Pine ,Bushnell HD,4,11,,White Oak,78,,,
3,5/13/19,9/4/19,Whippoorwill Corners ,2,Pine ,Browning ,31,3,,Sugar Maple,51,,,
3,5/13/19,9/4/19,Whippoorwill Corners ,3,Pine ,Browning ,22,22,,White Oak,227,,,
3,5/13/19,9/4/19,Whippoorwill Corners ,4,Pine ,Bushnell HD,15,16,,"Unkown - shaggy bark, beech looking leaves",168,,,
4,9/17/19,11/15/19,Donnerville,1,Deciduous ,Browning ,30,17,,Ash,185,84%,"Tree is dying, very close to main path",
4,9/17/19,11/15/19,Donnerville,2,Deciduous ,Bushnell HD,10,35,,Red Maple,161,,,
4,9/17/19,11/15/19,Donnerville,3,Deciduous ,Browning ,21,40,,Red Maple,278,73%,,
4,9/17/19,11/6/19,Donnerville,4,Deciduous ,Bushnell HD,14,25,,Red Maple,244,5 Batteries,Near foot paths,
4,9/20/19,12/7/19,South Hammond ,1,Deciduous ,Browning ,28,1,,Red Pine ,263,78%,GPS issues- may not be exactly within the buffer,
4,9/20/19,12/7/19,South Hammond ,2,Deciduous ,Browning ,23,24,,Red Oak ,297,78%,,
4,9/20/19,12/7/19,South Hammond ,3,Deciduous ,Bushnell HD,15,6,,White Pine ,13,,Stake isn't in up to the first black tape mark- half in,
4,9/20/19,12/7/19,South Hammond ,4,Deciduous ,Bushnell HD,2,7,,Red Oak ,46,,,
4,9/29/19,1/26/20,Whiskey Flats ,1,Pine ,Browning ,34,21,,Spruce,129,,Set up by Cole and Leslie,
4,9/29/19,1/26/20,Whiskey Flats ,2,Pine ,Browning ,36,32,,White Cedar,236,,"Set up by Cole and Leslie, wet/swampy surrounding habitat",
4,9/29/19,12/6/19,Whiskey Flats ,3,Pine ,Bushnell HD,5,34,,American Beech,358,,Set up by Cole and Leslie,
4,9/29/19,12/6/19,Whiskey Flats ,4,Pine ,Bushnell HD,3,39,,Red Pine ,215,,"Set up by Cole and Leslie, open understory, slight hill",
4,9/27/19,11/17/19,Degrasse ,2,Pine ,Bushnell HD,1,23,,Hemlock,352,,"Erika, Hemlock grove",
4,9/27/19,11/17/19,Degrasse ,1,Pine ,Browning ,37,31,,E. Hemlock,173,,"Erika, Hemlock grove",
4,9/27/19,11/17/19,Degrasse ,4,Pine ,Bushnell HD,6,5,,Beech,30,5 batteries,"Erika, nice white pine forest with hardwood understory",
4,9/27/19,11/17/19,Degrasse ,3,Pine ,Browning ,33,38,,Red Maple,235,,"Erika, hemlock grove,adjacent to Grasse; gaps in view across river",
4,9/27/19,11/12/19,Whippoorwill Corners ,1,Pine ,Bushnell HD,7,42,,Red Maple,241,,"Cole and Erika, no lock, looks like game trail goes right past",
4,9/27/19,11/15/19,Whippoorwill Corners ,2,Pine ,Bushnell HD,17,26,,Hemlock,233,,"ELB, Along slope, pointed toward game trail",
4,9/27/19,11/1/19,Whippoorwill Corners ,4,Pine ,Browning ,31,15,,Eastern Hemlock,21,,"Set up by Cole and Leslie, facing game trail",
4,9/27/19,11/12/19,Whippoorwill Corners ,3,Pine ,Browning ,32,13,,Beech,17,,"Cole, locked, perpendicular with game trail",
4,10/9/19,12/14/19,Beaver Creek,1,Deciduous ,Browning ,27,41,,Elm ,56,60%,"On game trail, 100m east of buffer circle (bad terrain within buffer), placed by Cole",
4,10/19/19,2/2/20,Beaver Creek,2,Deciduous ,Browning ,35,16,,Red Maple,14,100%,Placed by Cole,
4,10/19/19,2/2/20,Beaver Creek,3,Deciduous ,Bushnell HD,4,12,,Sugar Maple,284,4 batteries,"Placed by Cole, strap on camera broke (tied)",
4,10/19/19,,Beaver Creek,4,Deciduous ,Bushnell HD,18,11,,Sugar Maple,180,7 batteries,,
4,10/11/19,11/16/19,Lampson Falls,1,Deciduous ,Browning ,40,16-1,,Yellow birch,236,,"No Scale stick, ELB, extra camera for Snapshot USA",
4,10/11/19,11/16/19,Lampson Falls,2,Deciduous ,Browning ,39,16-2,,Red maple ,53,,"No Scale stick, ELB, beech thicket, extra camera for Snapshot USA",
4,10/11/19,11/17/19,Lampson Falls,3,N/A,Browning ,42,16-3,,White Pine,166,,"No Scale Stick, white pine stand, extra camera for Snapshot USA, ELB",
4,10/11/19,11/16/19,Lampson Falls,4,Deciduous ,Browning ,41,14,,Catscratch,316,,"No Scale stick, ELB, beech thicket, extra camera for Snapshot USA",